City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Voi,KE,2021-03-28 19:47:26,-3.3945,38.563,70.41,88,100,3.65
97,Araguacu,BR,2021-03-28 19:47:26,-12.9306,-49.8264,82.04,73,100,5.68
98,Provideniya,RU,2021-03-28 19:47:26,64.3833,-173.3,11.55,91,100,22.03
99,Hobyo,SO,2021-03-28 19:42:45,5.3505,48.5268,80.58,78,45,12.48
100,Severo-Kurilsk,RU,2021-03-28 19:47:27,50.6789,156.125,25.48,78,8,12.73
101,Saint-Philippe,RE,2021-03-28 19:47:27,-21.3585,55.7679,78.8,78,0,6.91
102,Bodden Town,KY,2021-03-28 19:47:27,19.2833,-81.25,86.0,66,40,13.8
103,Hovd,MN,2021-03-28 19:47:27,48.0056,91.6419,36.39,57,100,3.98
104,Bam,IR,2021-03-28 19:47:28,29.106,58.357,65.14,15,17,13.82
105,Porto Nacional,BR,2021-03-28 19:47:28,-10.7081,-48.4172,87.8,66,75,4.61
106,Aldan,RU,2021-03-28 19:47:22,58.6031,125.3894,13.91,96,100,2.33
107,Leningradskiy,RU,2021-03-28 19:47:28,69.3833,178.4167,-14.22,95,99,2.91
108,Tromso,NO,2021-03-28 19:47:29,69.6496,18.957,32.0,74,0,3.44
109,Chuy,UY,2021-03-28 19:47:29,-33.6971,-53.4616,69.37,84,93,4.61
110,Soni,TZ,2021-03-28 19:47:29,-4.85,38.3667,64.02,89,51,2.3
111,Arraial Do Cabo,BR,2021-03-28 19:43:37,-22.9661,-42.0278,86.0,74,20,9.22
112,Cherskiy,RU,2021-03-28 19:47:30,68.75,161.3,-9.27,93,100,0.74
113,Aklavik,CA,2021-03-28 19:47:30,68.2191,-135.0107,-5.8,54,20,5.75
114,Port Lincoln,AU,2021-03-28 19:47:30,-34.7333,135.8667,60.6,82,2,7.38
115,Punta Arenas,CL,2021-03-28 19:44:38,-53.15,-70.9167,55.4,41,0,16.11
116,Storslett,NO,2021-03-28 19:47:30,69.7678,21.0247,33.8,64,0,6.91
117,San Cristobal,VE,2021-03-28 19:43:43,7.7669,-72.225,84.2,58,40,5.79
