City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
561,Lota,CL,69.8,-37.0833,-73.1667,Apart Hotel Kuñul
565,Aswan,EG,68.16,24.0934,32.907,Nuba Nile
566,Kuliyapitiya,LK,75.2,7.4688,80.0401,Rest House
567,Denpasar,ID,77.0,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
571,Alice Town,BS,78.26,25.7167,-79.3,Bimini Big Game Club Resort & Marina
574,Nkhotakota,MW,71.98,-12.9274,34.2961,Sitima Inn
575,Marsh Harbour,BS,77.81,26.5412,-77.0636,Abaco Beach Resort
576,Thaton,MM,79.18,16.9206,97.3714,Tain Pyar Guest House
577,Ixtapa,MX,77.0,20.7,-105.2,Hotel Plaza Providencia
578,Sabha,LY,62.73,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
579,Yangjiang,CN,72.32,21.85,111.9667,HUALUXE Yangjiang City Center
581,Maine-Soroa,NE,76.91,13.2114,12.0241,Complexe
583,Porbandar,IN,78.48,21.6422,69.6093,Lords Inn Porbandar
585,Chicama,PE,73.4,-7.8447,-79.1469,Chicama Me Gusta
590,Marbella,ES,60.8,36.5154,-4.8858,Hotel Fuerte Marbella
593,Tanah Merah,MY,78.8,5.8,102.15,Humaira Hotel
594,Matata,NZ,63.0,-37.8833,176.75,paradise cabins
596,Maneadero,MX,71.01,31.7167,-116.5667,Casa De Thompson
599,Miri,MY,77.0,4.4148,114.0089,"Mega Hotel, Miri"
601,Amboasary,MG,73.4,-25.0333,46.3833,DISCOVERY AMBOASARY
602,Nadadores,MX,66.2,27.05,-101.6,La Cabañita - Eventos
604,Yanam,IN,74.34,16.7333,82.2167,The Regency Hotel
605,Inongo,CD,76.55,-1.95,18.2667,Hotel Du Lac
610,Maralal,KE,62.8,1.0968,36.698,Ngari Hill Ecolodge
611,Tezu,IN,70.68,27.9167,96.1667,Circuit House
612,Dakar,SN,68.0,14.6937,-17.4441,Redface Studios Meublés
613,Kuala Terengganu,MY,77.0,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
614,Mangrol,IN,77.63,21.1167,70.1167,Hotel The Royal Honours
621,Bossier City,US,69.8,32.516,-93.7321,Horseshoe Bossier City
623,Ahuimanu,US,77.0,21.4447,-157.8378,Paradise Bay Resort
624,Ponta Delgada,PT,60.8,37.7333,-25.6667,Vila Nova Hotel
625,Biak,ID,75.87,-0.9131,122.8766,Penginapan Kim
627,Faya,SA,64.4,18.3851,42.4509,مقبرة ال مجمل
632,Boulder City,US,71.6,35.9786,-114.8325,Boulder Dam Hotel
633,Mwinilunga,ZM,61.23,-11.7358,24.4293,Kwakuwahi Lodge
636,Doctor Arroyo,MX,76.95,23.6667,-100.1833,Hotel Plaza
637,San Quintin,MX,71.78,30.4833,-115.95,Old Mill Hotel
642,La Argentina,CO,71.38,2.1961,-75.98,Parque P Pal La Argentina
646,Bowen,AU,69.8,-20.0167,148.2333,Castle Motor Lodge Motel
647,Sibolga,ID,76.37,1.7427,98.7792,Hotel Syariah CN Darussalam
648,Azare,NG,79.45,11.6765,10.1948,Muk hostel
654,Masterton,NZ,63.0,-40.9597,175.6575,Copthorne Hotel & Resort Solway Park Wairarapa
663,Rupert,US,68.0,42.6191,-113.6772,Uptown Motel
665,Prescott,US,66.99,34.54,-112.4685,Prescott Resort & Conference Center
668,Arlit,NE,73.96,18.7369,7.3853,Case de Passage De la Prefecture
669,Estelle,US,73.0,29.8458,-90.1067,Ohio
671,Bandarbeyla,SO,78.62,9.4942,50.8122,JABIR HOTEL
674,Dolores,AR,68.95,-36.3132,-57.6792,Apart Hotel - Arianos
675,Isiro,CD,75.74,2.7739,27.616,Guest House Hewa Bora
676,Samfya,ZM,66.16,-11.3649,29.5565,Chita Lodge Samfya
